state_name,population,total_confirmed,total_recovered,total_deceased,total_tested,delta_tested,delta7_tested,total_vaccinated1,total_vaccinated2,delta_vaccinated1,delta_vaccinated2,delta7_vaccinated1,delta7_vaccinated2,delta21_14_confirmed
Andaman and Nicobar Islands,397000,7651,7518,129,598033,1376,8936,294001,200157,3,13,884,10640,9
Andhra Pradesh,52221000,2066450,2047722,14373,29518787,39848,254532,32976969,20375181,20497,24137,1223010,1887005,3220
Arunachal Pradesh,1504000,55155,54774,280,1185436,334,4788,771875,534486,42,195,3312,23647,87
Assam,34293000,610645,600974,5997,24712042,15060,269097,20172463,8068795,19124,37463,274869,849889,1499
Bihar,119520000,726098,716390,9661,50531824,226443,1378539,49874828,18346781,114694,145827,1286708,2144970,30
Chandigarh,1179000,65351,64495,820,792851,1403,10726,926035,546981,211,1282,3680,21641,23
Chhattisgarh,28724000,1006052,992159,13577,13709510,11869,147451,14851682,7343273,21312,39393,379374,604260,124
Delhi,19814000,1439870,1414431,25091,29427753,56751,395086,13055636,7425404,12482,11839,160323,269146,195
Dadra and Nagar Haveli and Daman and Diu,959000,10681,10644,4,72410,0,0,660753,370255,3,20,2802,14244,4
Goa,1540000,178108,174392,3364,1468399,2361,19026,1262568,911114,2572,12404,8418,46494,409
Gujarat,67936000,826577,816283,10089,30928063,34282,328489,44735217,25972387,14685,62096,335172,1660382,149
Himachal Pradesh,7300000,224106,218410,3738,3685011,3613,64352,5713695,3443823,371,8192,13244,234011,958
Haryana,28672000,771252,761068,10049,13032504,20588,148110,17772376,8115463,7867,15801,160777,368141,83
Jharkhand,37403000,348764,343518,5138,15985878,31238,464579,14986646,5585648,41034,51488,299587,428313,78
Jammu and Kashmir,13203000,332249,326915,4432,16202346,38915,254608,9511073,5149471,1584,45202,33383,414843,529
Karnataka,65798000,2988333,2941578,38082,50873103,106939,724215,42497761,22858384,17604,28163,623591,1373861,2432
Kerala,35125000,4968657,4857181,31681,37886378,65158,506604,25306499,13658343,2010,11914,109805,792534,59521
Ladakh,293000,20962,20687,208,555568,388,2475,208798,152280,0,2,525,1532,26
Lakshadweep,68000,10365,10270,51,263541,31,1625,55129,45951,0,4,69,796,0
Maharashtra,122153000,6611078,6450585,140216,62667211,108040,773516,67198794,30975692,53161,31988,1611778,1282938,13825
Meghalaya,3224000,83627,81746,1450,1151665,1559,13944,1103275,641819,38,203,7871,41927,530
Manipur,3103000,123731,121102,1921,1367673,1689,12787,1249436,719413,705,4283,7665,71276,734
Madhya Pradesh,82232000,792854,782215,10524,20294225,55368,393209,49911938,20838045,5713,77062,148817,2034460,63
Mizoram,1192000,121359,114612,432,1298444,5945,42841,711597,512029,10,51,4302,11262,6770
Nagaland,2150000,31842,29904,685,395416,468,4606,709553,490663,193,822,4706,23628,162
Odisha,43671000,1041457,1029147,8386,21994343,69675,473919,25736641,11560912,21420,25651,731837,917236,3381
Punjab,29859000,602401,585591,16559,15429415,34152,221114,15942714,6238973,3321,4418,200182,223256,159
Puducherry,1504000,128013,125726,1857,1919060,2662,21095,733922,404355,171,532,8324,20073,343
Rajasthan,77264000,954429,945443,8954,14807752,13454,95132,42544909,20097635,9399,29672,271500,864947,31
Sikkim,664000,31979,31063,396,261343,389,2847,521763,451509,0,0,782,14044,82
Telangana,37220000,671463,663498,3956,27569831,25021,261086,22498559,9772398,38781,26738,1072389,961422,1068
Tamil Nadu,75695000,2702623,2655015,36116,51159242,123701,858304,41279432,17619141,77325,106584,788134,1578082,8827
Tripura,3992000,84468,83466,813,1983127,3501,22126,2508477,1621329,3,650,4155,74642,49
Uttar Pradesh,224979000,1710158,1687151,22900,83635222,161458,1140736,98178865,32681895,53401,57556,2266921,3130828,74
Uttarakhand,11141000,343896,330195,7400,7781148,9524,83377,7478017,3898342,1065,12934,25250,258381,88
West Bengal,96906000,1592908,1565471,19141,19228303,47417,300114,56192166,21559747,209609,58881,3809597,1871612,4193
