state_name,total_vaccinated1,total_vaccinated2,date
Andaman and Nicobar Islands,294001,200157,2021-10-31
Andhra Pradesh,32976969,20375181,2021-10-31
Arunachal Pradesh,771875,534486,2021-10-31
Assam,20172463,8068795,2021-10-31
Bihar,49874828,18346781,2021-10-31
Chandigarh,926035,546981,2021-10-31
Chhattisgarh,14851682,7343273,2021-10-31
Delhi,13055636,7425404,2021-10-31
Dadra and Nagar Haveli and Daman and Diu,660753,370255,2021-10-31
Goa,1262568,911114,2021-10-31
Gujarat,44735217,25972387,2021-10-31
Himachal Pradesh,5713695,3443823,2021-10-31
Haryana,17772376,8115463,2021-10-31
Jharkhand,14986646,5585648,2021-10-31
Jammu and Kashmir,9511073,5149471,2021-10-31
Karnataka,42497761,22858384,2021-10-31
Kerala,25306499,13658343,2021-10-31
Ladakh,208798,152280,2021-10-31
Lakshadweep,55129,45951,2021-10-31
Maharashtra,67198794,30975692,2021-10-31
Meghalaya,1103275,641819,2021-10-31
Manipur,1249436,719413,2021-10-31
Madhya Pradesh,49911938,20838045,2021-10-31
Mizoram,711597,512029,2021-10-31
Nagaland,709553,490663,2021-10-31
Odisha,25736641,11560912,2021-10-31
Punjab,15942714,6238973,2021-10-31
Puducherry,733922,404355,2021-10-31
Rajasthan,42544909,20097635,2021-10-31
Sikkim,521763,451509,2021-10-31
Telangana,22498559,9772398,2021-10-31
Tamil Nadu,41279432,17619141,2021-10-31
Tripura,2508477,1621329,2021-10-31
Uttar Pradesh,98178865,32681895,2021-10-31
Uttarakhand,7478017,3898342,2021-10-31
West Bengal,56192166,21559747,2021-10-31
